"동별(1)",동별(2),2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"동별(1)",동별(2),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"동별(1)",동별(2),소계,소계,소계,소계,소계,농업 임업 및 어업,농업 임업 및 어업,광업,광업,제조업,제조업,전기 가스 증기 및 공기조절 공급업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,수도 하수 및 폐기물 처리 원료 재생업,건설업,건설업,도매 및 소매업,도매 및 소매업,운수 및 창고업,운수 및 창고업,숙박 및 음식점업,숙박 및 음식점업,정보통신업,정보통신업,금융 및 보험업,금융 및 보험업,부동산업,부동산업,전문 과학 및 기술 서비스업,전문 과학 및 기술 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,공공행정 국방 및 사회보장 행정,공공행정 국방 및 사회보장 행정,교육 서비스업,교육 서비스업,보건업 및 사회복지 서비스업,보건업 및 사회복지 서비스업,예술 스포츠 및 여가관련 서비스업,예술 스포츠 및 여가관련 서비스업,협회 및 단체 수리 및 기타 개인 서비스업,협회 및 단체 수리 및 기타 개인 서비스업
"동별(1)",동별(2),사업체수 (개),사업체수 (개),종사자수 (명),종사자수 (명),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명)
"동별(1)",동별(2),소계,여성대표자,소계,남,여,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"합계",소계,1176066,415256,5772456,3126248,2646208,93,409,16,190,62032,237097,867,6637,757,10638,65232,388553,331830,936536,120234,289414,138531,450505,54557,490271,26746,299964,68325,188936,81006,630526,27912,520190,1316,163874,50822,366094,32815,508898,30188,93249,82787,190475
"합계",종로구,46830,16243,265635,141230,124405,6,21,2,75,4751,11449,68,234,10,86,605,13520,17372,40778,2112,9861,6928,24734,1470,18493,1080,24230,2459,7311,2685,31676,1358,18329,92,16571,1089,13926,840,19792,1178,6260,2725,8289
"합계",중구,67098,25163,399960,219382,180578,-,-,1,4,8992,23546,27,590,20,408,584,6923,30756,76226,2318,16167,6650,31115,1631,32208,2966,64542,3085,11578,3711,55840,1767,34457,68,13156,715,9523,851,12399,709,3408,2247,7870
"합계",용산구,27854,10279,157564,86079,71485,2,2,-,-,1013,2792,19,55,24,326,691,6147,9163,33134,1515,3933,4886,17620,1188,13231,583,6563,1928,4669,1980,24575,601,12711,50,5903,952,7616,627,7908,701,3543,1931,6836
"합계",성동구,39264,13180,201023,111482,89541,2,3,-,-,4003,23315,37,443,35,799,1668,8748,10913,36826,3363,8162,4505,13899,2150,20787,469,4086,2283,6004,3316,22237,796,17471,45,5041,1413,11102,871,11296,840,2933,2555,7871
"합계",광진구,33295,12450,125475,66236,59239,2,6,-,-,1739,5555,23,25,23,323,1479,11117,8942,19162,3286,5806,5013,14518,1080,4326,260,2690,2056,4083,1720,6969,833,8855,40,3969,1551,15113,1012,13951,1210,3735,3026,5272
"합계",동대문구,43129,15054,145719,74198,71521,1,2,-,-,3362,11225,18,22,27,238,3564,7844,14764,30516,4223,6787,4989,13214,910,2445,353,4187,2196,5131,1414,6427,789,9335,49,4299,1492,16523,1113,20014,940,2573,2925,4937
"합계",중랑구,42344,14550,115477,59509,55968,-,-,-,-,3768,12197,12,102,48,275,4834,9728,10286,18791,7331,12646,4384,10380,785,1599,215,1516,1720,3081,1196,2694,852,4142,40,5041,1315,8298,1146,17532,1073,2321,3339,5134
"합계",성북구,35561,14210,125573,59747,65826,1,1,-,-,2643,7247,36,41,23,225,1538,5587,9709,18114,3963,6391,4667,12407,1218,2753,226,1462,1898,3615,1474,7541,701,7583,46,4008,2056,22218,1146,18500,1107,2487,3109,5393
"합계",강북구,25636,9676,75722,34779,40943,-,-,-,-,1679,4783,14,96,15,332,1483,3132,6560,11333,3439,6782,3760,9559,557,945,298,3322,1164,2208,773,1671,576,3691,43,3569,926,5951,881,12121,860,2035,2608,4192
"합계",도봉구,25298,8911,80087,40449,39638,-,-,-,-,1037,2836,11,17,19,190,1369,3670,6365,11719,5484,8873,2786,6780,585,1498,185,1632,1052,4052,808,2297,482,4795,40,4933,1204,6968,866,14036,713,1518,2292,4273
"합계",노원구,38579,14523,132355,60794,71561,2,4,1,1,957,2890,32,338,33,251,2118,5339,10200,18076,6914,12235,4390,13171,1063,1882,317,5985,1719,4429,1312,3307,796,6415,39,4143,2732,21693,1540,23430,1152,3172,3262,5594
"합계",은평구,36093,14490,107935,49225,58710,2,4,-,-,1089,2794,12,151,22,276,1885,5959,9867,17402,5227,8959,4580,12183,1195,2289,259,2090,1918,3546,1391,3036,721,2610,49,5545,2014,10919,1351,22120,1087,2609,3424,5443
"합계",서대문구,28468,10917,117330,56820,60510,-,-,-,-,767,1896,14,71,16,604,1663,5819,6987,14310,3840,7338,4339,12219,1222,4646,259,3324,1607,3318,1462,8687,660,4936,43,5891,1535,20369,888,17087,813,2004,2353,4811
"합계",마포구,56080,20440,274900,144681,130219,5,12,-,-,1478,4451,26,496,49,357,2858,16217,13094,39079,4189,12693,9413,28210,4677,46259,818,10845,3200,7957,4826,24815,1595,31402,63,6239,2635,16333,1375,14488,1691,4722,4088,10325
"합계",양천구,37760,14345,130568,64472,66096,1,1,1,1,1248,3774,25,389,33,533,2115,8121,9541,19557,6471,11959,3806,11670,1193,4691,289,2540,1934,4066,1498,3688,714,6786,52,7160,3105,16022,1325,20447,1130,3139,3279,6024
"합계",강서구,60611,20831,312532,174623,137909,1,26,-,-,1576,7884,39,704,72,851,3065,19079,16130,43916,9925,51339,6743,21185,2934,24685,576,5245,3434,8273,3481,36442,1582,26534,62,5938,2722,15006,1788,30828,1581,4528,4900,10069
"합계",구로구,51832,16444,232534,130488,102046,7,14,-,-,3796,16601,25,145,45,271,2603,13912,17104,40283,5980,9500,4862,13674,3184,32091,616,6937,2297,6419,2707,19079,1207,26866,44,5033,1696,10492,1297,21385,1135,2737,3227,7095
"합계",금천구,48067,13825,257675,156617,101058,1,1,-,-,5888,38144,23,147,33,473,2244,15234,13497,40045,3733,8229,3653,9918,4919,49716,433,3268,2709,5248,4787,34751,1268,25320,36,4156,1006,6556,744,9736,734,1711,2359,5022
"합계",영등포구,74118,23416,442395,254249,188146,4,4,-,-,3602,11338,73,716,27,455,11496,29926,15421,53425,6148,15952,7512,25285,3529,40678,8289,74080,3358,10829,4509,43916,1609,75731,75,10426,1889,9509,1397,24860,1472,4465,3708,10800
"합계",동작구,27532,11016,109155,53481,55674,2,2,-,-,716,1746,25,155,19,440,1519,5270,7321,14392,2370,3530,4100,11570,1109,5281,245,3463,1805,4563,1255,9703,664,6820,43,3980,1737,13788,1127,17030,918,2468,2557,4954
"합계",관악구,37657,13646,125747,64262,61485,1,5,1,1,1378,3676,17,17,21,204,1940,8273,9142,16733,4902,7003,5986,16103,1478,4961,227,1660,2120,4742,1644,6167,832,6536,50,4208,1729,19351,1256,16717,1321,3333,3612,6057
"합계",서초구,72068,24384,493979,283233,210746,13,40,3,46,1195,6097,45,363,37,536,4197,52393,18662,70768,4288,12455,6404,26956,4539,42485,1919,19990,5777,18341,10986,85067,1978,65918,72,13179,3773,23909,2125,33993,1916,7112,4139,14331
"합계",강남구,101160,34313,755251,404613,350638,17,104,4,42,2081,18040,118,1030,31,969,2599,46068,24304,139423,4112,12234,11003,50476,7754,92747,4222,33950,9571,32834,14233,131253,2879,70815,65,8299,5576,33770,3603,51427,2625,9130,6363,22640
"합계",송파구,75957,26621,418595,248027,170568,15,56,3,20,1853,8934,77,113,48,750,4706,59810,23326,84332,8572,19776,8013,29316,2922,35478,1217,9271,4455,17341,6034,48352,1639,25919,68,8194,3563,19493,2107,32354,2114,8362,5225,10724
"합계",강동구,43775,16329,169270,87572,81698,8,101,-,-,1421,3887,51,177,27,466,2409,20717,12404,28196,6529,10804,5159,14343,1265,4097,425,3086,2580,5298,1804,10336,1013,16213,42,4993,2397,11646,1539,25447,1168,2944,3534,6519
